ablation,ablation_label,transition,transition_label,phase,phase_label,value,n_familiar_conditions
use_pv_connection,No FF->PV conn.,FF_FB_broad,"FF -> FB
(broad)",expert,Expert,-4.024299754185556,2
use_pv_connection,No FF->PV conn.,FF_FB_broad_novel,"FF -> FB
(broad nov)",naive,Naive,-31.25311672215767,2
use_pv_connection,No FF->PV conn.,FF_FB_broad_novel,"FF -> FB
(broad nov)",expert,Expert,-4.1971619905377775,2
use_pv_connection,No FF->PV conn.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",naive,Naive,-24.578312171892673,2
use_pv_connection,No FF->PV conn.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",expert,Expert,-9.147823478085964,2
use_pv_connection,No FF->PV conn.,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",naive,Naive,-25.32855851361163,2
use_pv_connection,No FF->PV conn.,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",expert,Expert,-8.992965977529673,2
use_pv_connection,No FF->PV conn.,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",naive,Naive,-0.9235346146328478,2
use_pv_connection,No FF->PV conn.,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",expert,Expert,-0.0991345901490454,2
use_pv_connection,No FF->PV conn.,FB_FB,FB -> FB,naive,Naive,0.1031023827244919,2
use_pv_connection,No FF->PV conn.,FB_FB,FB -> FB,expert,Expert,0.1235490499429587,2
pv_plasticity,No FF->PV plast.,un_un,un -> un,naive,Naive,3.655776650505859,2
pv_plasticity,No FF->PV plast.,un_un,un -> un,expert,Expert,3.7840688150906687,2
pv_plasticity,No FF->PV plast.,un_FF,un -> FF,naive,Naive,-0.1756568223037112,2
pv_plasticity,No FF->PV plast.,un_FF,un -> FF,expert,Expert,-22.15209585939479,2
pv_plasticity,No FF->PV plast.,un_FB,un -> FB,naive,Naive,4.052483436367425,2
pv_plasticity,No FF->PV plast.,un_FB,un -> FB,expert,Expert,15.48672976195574,2
pv_plasticity,No FF->PV plast.,FF_un,FF -> un,naive,Naive,-26.857961985845197,2
pv_plasticity,No FF->PV plast.,FF_un,FF -> un,expert,Expert,-6.733921587960364,2
pv_plasticity,No FF->PV plast.,FF_FF,FF -> FF,naive,Naive,-30.312094022876853,2
pv_plasticity,No FF->PV plast.,FF_FF,FF -> FF,expert,Expert,-34.845501475078635,2
pv_plasticity,No FF->PV plast.,FF_FB_broad,"FF -> FB
(broad)",naive,Naive,-19.24436890269895,2
