transition,image_group,image_idx_original,image_idx_within_group,neuron_idx,image_type,stage,response
post,familiar,4,3,47,Full,Pre,0.332265256771106
post,familiar,4,3,48,Full,Pre,-0.0401936416267646
post,familiar,4,3,49,Full,Pre,-0.107966788673463
post,familiar,4,3,50,Full,Pre,0.35608081315186
post,familiar,4,3,51,Full,Pre,1.38368998935427
post,familiar,4,3,52,Full,Pre,0.907911517924034
post,familiar,4,3,53,Full,Pre,-0.0120988707228298
post,familiar,4,3,54,Full,Pre,0.288813880163636
post,familiar,4,3,55,Full,Pre,-0.0610539285264998
post,familiar,4,3,56,Full,Pre,0.360605892518126
post,familiar,4,3,57,Full,Pre,0.242739566713886
post,familiar,4,3,58,Full,Pre,0.565094433052475
post,familiar,4,3,59,Full,Pre,0.29228839619038
post,familiar,4,3,60,Full,Pre,-0.0256635381455617
post,familiar,4,3,61,Full,Pre,0.0707301136296604
post,familiar,4,3,62,Full,Pre,1.43201588527606
post,familiar,4,3,63,Full,Pre,1.22604559765585
post,familiar,4,3,64,Full,Pre,0.530818045171127
post,familiar,4,3,65,Full,Pre,0.237122691353444
post,familiar,4,3,66,Full,Pre,0.67315369230627
post,familiar,4,3,67,Full,Pre,-0.386052954097737
post,familiar,4,3,68,Full,Pre,0.940753556653378
post,familiar,4,3,69,Full,Pre,1.10943398292848
post,familiar,4,3,70,Full,Pre,0.0100363573112111
post,familiar,4,3,71,Full,Pre,0.413238400149317
post,familiar,4,3,72,Full,Pre,0.562143689554192
post,familiar,4,3,73,Full,Pre,0.11958577263266
post,familiar,4,3,74,Full,Pre,0.159319928880905
post,familiar,4,3,75,Full,Pre,0.0672371796998613
post,familiar,4,3,76,Full,Pre,0.252083503081313
post,familiar,4,3,77,Full,Pre,-0.141649485755703
post,familiar,4,3,78,Full,Pre,-0.19514159736422
post,familiar,4,3,79,Full,Pre,-0.172813819829036
post,familiar,4,3,80,Full,Pre,0.863708748344881
post,familiar,4,3,81,Full,Pre,0.00879938217791609
post,familiar,4,3,82,Full,Pre,0.217471244193959
post,familiar,4,3,83,Full,Pre,1.03064412082159
post,familiar,4,3,84,Full,Pre,0.362037727405598
post,familiar,4,3,85,Full,Pre,0.376812729107267
post,familiar,4,3,86,Full,Pre,0.0814958123508753
post,familiar,4,3,87,Full,Pre,0.676869179091581
post,familiar,4,3,88,Full,Pre,-0.110018111809887
post,familiar,4,3,89,Full,Pre,0.119252250487233
post,familiar,4,3,90,Full,Pre,-0.078287732766565
post,familiar,4,3,91,Full,Pre,-0.363591951153991
post,familiar,4,3,92,Full,Pre,0.00830886877418594
post,familiar,4,3,93,Full,Pre,0.693276328357036
post,familiar,4,3,94,Full,Pre,0.126570558513558
post,familiar,4,3,95,Full,Pre,0.000249938213466513
post,familiar,4,3,96,Full,Pre,-0.177111612503136
post,familiar,4,3,97,Full,Pre,0.014034571082045
post,familiar,4,3,98,Full,Pre,0.627821496186765
post,familiar,4,3,99,Full,Pre,-0.0439017540834023
post,familiar,4,3,100,Full,Pre,-0.0759591456312106
post,familiar,4,3,101,Full,Pre,0.0654003245501711
post,familiar,4,3,102,Full,Pre,0.413908336856149
post,familiar,4,3,103,Full,Pre,0.139637264390588
post,familiar,4,3,104,Full,Pre,0.547381038950364
post,familiar,4,3,105,Full,Pre,1.48805511082346
post,familiar,4,3,106,Full,Pre,-0.0491138522138045
post,familiar,4,3,107,Full,Pre,0.331829496630092
post,familiar,4,3,108,Full,Pre,0.287211836204205
post,familiar,4,3,109,Full,Pre,0.118102977933778
post,familiar,4,3,110,Full,Pre,0.943323632123032
post,familiar,4,3,111,Full,Pre,-0.174535576425896
post,familiar,4,3,112,Full,Pre,0.309607552942126
post,familiar,4,3,113,Full,Pre,-0.084188979677656
post,familiar,4,3,114,Full,Pre,0.0172078865611224
post,familiar,4,3,115,Full,Pre,1.03506862644482
post,familiar,4,3,116,Full,Pre,0.424016754097336
post,familiar,4,3,117,Full,Pre,0.862609060594189
post,familiar,4,3,118,Full,Pre,5.229233167805
post,familiar,4,3,119,Full,Pre,-0.0920893784427259
post,familiar,4,3,120,Full,Pre,0.192788602712117
post,familiar,4,3,121,Full,Pre,1.14673956945672
post,familiar,4,3,122,Full,Pre,0.0382435682039083
post,familiar,4,3,123,Full,Pre,0.572283489732092
post,familiar,4,3,124,Full,Pre,0.224314803546749
post,familiar,4,3,125,Full,Pre,0.243664619270543
post,familiar,4,3,126,Full,Pre,0.616302498313779
post,familiar,4,3,127,Full,Pre,-0.238739065442026
